IP地址,端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.218.204.128,8443,TRUE,HKG,Asia Pacific,Hong Kong,142,0.30 
47.236.146.249,2053,TRUE,SIN,Asia Pacific,Singapore,293,0.30 
47.57.245.232,443,TRUE,SJC,North America,San Jose,83,0.29 
47.76.178.146,2083,TRUE,HKG,Asia Pacific,Hong Kong,69,0.28 
8.218.204.128,2087,TRUE,HKG,Asia Pacific,Hong Kong,217,0.27 
47.76.178.146,443,TRUE,HKG,Asia Pacific,Hong Kong,69,0.26 
47.76.49.246,8443,TRUE,HKG,Asia Pacific,Hong Kong,412,0.26 
8.210.9.129,2053,TRUE,HKG,Asia Pacific,Hong Kong,66,0.25 
8.210.119.11,2096,TRUE,HKG,Asia Pacific,Hong Kong,91,0.24 
47.57.14.118,443,TRUE,SJC,North America,San Jose,69,0.22 
8.210.119.11,2053,TRUE,HKG,Asia Pacific,Hong Kong,150,0.21 
47.245.102.52,2083,TRUE,SIN,Asia Pacific,Singapore,283,0.20 
47.242.202.230,2096,TRUE,HKG,Asia Pacific,Hong Kong,66,0.17 
47.243.169.63,2096,TRUE,HKG,Asia Pacific,Hong Kong,68,0.17 
8.210.174.156,2083,TRUE,HKG,Asia Pacific,Hong Kong,872,0.13 
47.243.169.63,8443,TRUE,HKG,Asia Pacific,Hong Kong,59,0.13 
8.218.143.10,2087,TRUE,HKG,Asia Pacific,Hong Kong,60,0.12 
47.236.146.249,2096,TRUE,SIN,Asia Pacific,Singapore,286,0.10 
47.236.146.249,443,TRUE,SIN,Asia Pacific,Singapore,286,0.10 
8.222.214.231,2087,TRUE,SIN,Asia Pacific,Singapore,313,0.06 
47.236.146.249,2087,TRUE,SIN,Asia Pacific,Singapore,291,0.03 
149.129.8.215,443,TRUE,SJC,North America,San Jose,101,0.02 
47.243.74.220,2087,TRUE,HKG,Asia Pacific,Hong Kong,62,0.01 
47.236.146.249,2083,TRUE,SIN,Asia Pacific,Singapore,278,0.00 
47.242.252.237,2096,TRUE,HKG,Asia Pacific,Hong Kong,66,0.00 
47.242.202.230,8443,TRUE,HKG,Asia Pacific,Hong Kong,56,0.00 
47.243.74.220,2096,TRUE,HKG,Asia Pacific,Hong Kong,63,0.00 
47.242.252.237,8443,TRUE,HKG,Asia Pacific,Hong Kong,74,0.00 
47.236.146.249,8443,TRUE,SIN,Asia Pacific,Singapore,284,0.00 
47.250.57.45,80,TRUE,SIN,Asia Pacific,Singapore,160,0.00 
8.222.214.231,2083,TRUE,SIN,Asia Pacific,Singapore,347,0.00 
47.250.36.83,80,TRUE,SIN,Asia Pacific,Singapore,156,0.00 
8.210.156.6,2083,TRUE,HKG,Asia Pacific,Hong Kong,558,0.00 
47.236.10.182,8443,TRUE,SIN,Asia Pacific,Singapore,326,0.00 
47.243.74.220,2053,TRUE,HKG,Asia Pacific,Hong Kong,68,0.00 
47.242.202.230,2087,TRUE,HKG,Asia Pacific,Hong Kong,56,0.00 
